PLAYER,POS,TEAM,BYE,FPS,VORP,POS_RANK,PASS_TD
Mike Evans,WR,SF,8,187.1,106.6,25,0.0
Carnell Tate,WR,TEN,9,186.7,106.2,26,0.0
Jameson Williams,WR,DET,6,184.0,103.5,27,0.0
Marvin Harrison,WR,ARI,14,176.5,96.0,28,0.0
Makai Lemon,WR,PHI,10,175.2,94.7,29,0.0
Rome Odunze,WR,CHI,10,174.0,93.5,30,0.0
Alec Pierce,WR,IND,13,172.6,92.1,31,0.0
Parker Washington,WR,JAX,7,172.1,91.6,32,0.0
Courtland Sutton,WR,DEN,10,170.4,89.9,33,0.0
Christian Watson,WR,GB,11,168.2,87.6,34,0.0
Jordan Addison,WR,MIN,6,168.1,87.6,35,0.0
Jordyn Tyson,WR,NO,8,163.0,82.5,36,0.0
DK Metcalf,WR,PIT,9,162.9,82.4,37,0.0
Michael Pittman,WR,PIT,9,161.4,80.8,38,0.0
Malik Nabers,WR,NYG,8,160.8,80.3,39,0.0
Ricky Pearsall,WR,SF,8,154.3,73.8,40,0.0
Jakobi Meyers,WR,JAX,7,153.6,73.1,41,0.0
Wan'Dale Robinson,WR,TEN,9,152.1,71.6,42,0.0
Jayden Reed,WR,GB,11,149.9,69.4,43,0.0
Josh Downs,WR,IND,13,148.8,68.2,44,0.0
Quentin Johnston,WR,LAC,7,148.7,68.2,45,0.0
Chris Godwin,WR,TB,10,144.7,64.2,46,0.0
Jayden Higgins,WR,HOU,8,143.9,63.4,47,0.0
Xavier Worthy,WR,KC,5,142.0,61.5,48,0.0
Brian Thomas,WR,JAX,7,138.5,57.9,49,0.0
Michael Wilson,WR,ARI,14,137.0,56.5,50,0.0
Romeo Doubs,WR,NE,11,133.0,52.5,51,0.0
Omar Cooper,WR,NYJ,13,131.1,50.6,52,0.0
Matthew Golden,WR,GB,11,128.4,47.9,53,0.0
Jalen Coker,WR,CAR,5,127.8,47.3,54,0.0
Khalil Shakir,WR,BUF,7,126.0,45.5,55,0.0
Rashid Shaheed,WR,SEA,11,113.8,33.3,56,0.0
Jalen Nailor,WR,LV,13,112.5,32.0,57,0.0
Antonio Williams,WR,WSH,7,106.3,25.8,58,0.0
Tyquan Thornton,WR,KC,5,105.4,24.9,59,0.0
Calvin Ridley,WR,TEN,9,105.4,24.9,60,0.0
Adonai Mitchell,WR,NYJ,13,101.9,21.4,61,0.0
Andrei Iosivas,WR,CIN,6,101.5,21.0,62,0.0
Denzel Boston,WR,CLE,11,100.1,19.6,63,0.0
KC Concepcion,WR,CLE,11,100.0,19.5,64,0.0
Caleb Douglas,WR,MIA,6,99.6,19.1,65,0.0
Jerry Jeudy,WR,CLE,11,95.2,14.7,66,0.0
Jalen McMillan,WR,TB,10,94.9,14.4,67,0.0
Germie Bernard,WR,PIT,9,91.9,11.4,68,0.0
Tre Tucker,WR,LV,13,91.8,11.3,69,0.0
Jack Bech,WR,LV,13,91.5,11.0,70,0.0
Ryan Flournoy,WR,DAL,14,90.3,9.8,71,0.0
Malik Washington,WR,MIA,6,89.6,9.1,72,0.0
Chris Bell,WR,MIA,6,89.1,8.6,73,0.0
Isaac TeSlaa,WR,DET,6,88.8,8.3,74,0.0
Rashod Bateman,WR,BAL,13,88.2,7.7,75,0.0
Cooper Kupp,WR,SEA,11,88.0,7.5,76,0.0
Jauan Jennings,WR,MIN,6,82.8,2.3,77,0.0
Darnell Mooney,WR,NYG,8,80.5,0.0,78,0.0
Jaylin Noel,WR,HOU,8,78.1,-2.4,79,0.0
Tank Dell,WR,HOU,8,73.2,-7.3,80,0.0
Zachariah Branch,WR,ATL,11,69.5,-11.0,81,0.0
Nick Westbrook-Ikhine,WR,IND,13,68.7,-11.8,82,0.0
Troy Franklin,WR,DEN,10,66.4,-14.1,83,0.0
Olamide Zaccheaus,WR,ATL,11,64.9,-15.6,84,0.0
Elijah Sarratt,WR,BAL,13,64.3,-16.2,85,0.0
KaVontae Turpin,WR,DAL,14,64.3,-16.2,86,0.0
Kayshon Boutte,WR,NE,11,61.9,-18.6,87,0.0
Tre' Harris,WR,LAC,7,61.1,-19.4,88,0.0
Chris Brazzell,WR,CAR,5,60.7,-19.8,89,0.0
Dont'e Thornton,WR,LV,13,59.3,-21.2,90,0.0
Ja'Kobi Lane,WR,BAL,13,58.9,-21.6,91,0.0
Ted Hurst,WR,TB,10,58.0,-22.5,92,0.0
Isaiah Bond,WR,CLE,11,56.4,-24.1,93,0.0
Malachi Fields,WR,NYG,8,55.3,-25.2,94,0.0
Darius Slayton,WR,NYG,8,54.6,-25.9,95,0.0
Kendrick Bourne,WR,ARI,14,54.0,-26.5,96,0.0
Pat Bryant,WR,DEN,10,51.4,-29.2,97,0.0
Dyami Brown,WR,WSH,7,51.3,-29.2,98,0.0
Devaughn Vele,WR,NO,8,51.3,-29.2,99,0.0
De'Zhaun Stribling,WR,SF,8,50.8,-29.7,100,0.0
Savion Williams,WR,GB,11,50.1,-30.5,101,0.0
Keon Coleman,WR,BUF,7,49.4,-31.1,102,0.0
Dontayvion Wicks,WR,PHI,10,48.9,-31.7,103,0.0
Jahan Dotson,WR,ATL,11,46.4,-34.2,104,0.0
Jaylin Lane,WR,WSH,7,45.9,-34.6,105,0.0
Travis Hunter,WR,JAX,7,45.8,-34.7,106,0.0
Jalen Tolbert,WR,MIA,6,45.8,-34.7,107,0.0
Xavier Legette,WR,CAR,5,44.1,-36.4,108,0.0
Mack Hollins,WR,NE,11,44.0,-36.5,109,0.0
Joshua Palmer,WR,BUF,7,42.6,-37.9,110,0.0
Elic Ayomanor,WR,TEN,9,42.3,-38.2,111,0.0
Kalif Raymond,WR,CHI,10,41.7,-38.8,112,0.0
DeMario Douglas,WR,NE,11,40.7,-39.8,113,0.0
Devontez Walker,WR,BAL,13,40.7,-39.8,114,0.0
Tory Horton,WR,SEA,11,39.7,-40.8,115,0.0
Christian Kirk,WR,SF,8,39.6,-40.9,116,0.0
Tutu Atwell,WR,MIA,6,35.1,-45.4,117,0.0
Marvin Mims,WR,DEN,10,35.1,-45.4,118,0.0
Jalen Royals,WR,KC,5,33.1,-47.4,119,0.0
Jordan Whittington,WR,LAR,11,31.5,-49.0,120,0.0
Skyler Bell,WR,BUF,7,30.6,-49.9,121,0.0
Brenen Thompson,WR,LAC,7,30.5,-50.0,122,0.0
Treylon Burks,WR,WSH,7,26.8,-53.7,123,0.0
Hollywood Brown,WR,PHI,10,25.7,-54.9,124,0.0
Konata Mumpfield,WR,LAR,11,24.0,-56.5,125,0.0
Greg Dortch,WR,DET,6,22.3,-58.2,126,0.0
Deion Burks,WR,IND,13,20.5,-60.0,127,0.0
Chimere Dike,WR,TEN,9,20.0,-60.6,128,0.0
Xavier Hutchinson,WR,HOU,8,19.5,-61.0,129,0.0
Bryce Lance,WR,NO,8,18.5,-62.0,130,0.0
Mitchell Tinsley,WR,CIN,6,18.2,-62.3,131,0.0
Tim Patrick,WR,NYJ,13,18.0,-62.5,132,0.0
Luke McCaffrey,WR,WSH,7,17.7,-62.8,133,0.0
Xavier Smith,WR,LAR,11,16.8,-63.7,134,0.0
Ashton Dulin,WR,IND,13,15.9,-64.6,135,0.0
Ben Skowronek,WR,PIT,9,14.5,-66.0,136,0.0
Elijah Moore,WR,PHI,10,14.1,-66.4,137,0.0
Zavion Thomas,WR,CHI,10,13.4,-67.1,138,0.0
Dermarcus Robinson,WR,SF,8,13.1,-67.4,139,0.0
KeAndre Lambert-Smith,WR,LAC,7,12.7,-67.8,140,0.0
Calvin Austin,WR,NYG,8,12.1,-68.4,141,0.0
Tez Johnson,WR,TB,10,11.6,-68.9,142,0.0
Charlie Jones,WR,CIN,6,11.2,-69.3,143,0.0
K.J. Osborn,WR,TEN,9,10.3,-70.2,144,0.0
Cyrus Allen,WR,KC,5,9.9,-70.6,145,0.0
Tai Felton,WR,MIN,6,9.7,-70.8,146,0.0
Mecole Hardman,WR,BUF,7,9.2,-71.4,147,0.0
Jimmy Horn,WR,CAR,5,9.1,-71.4,148,0.0
Jonathan Mingo,WR,DAL,14,8.7,-71.8,149,0.0
Cedric Tillman,WR,CLE,11,8.7,-71.9,150,0.0
Kevin Coleman,WR,MIA,6,8.4,-72.1,151,0.0
Beaux Collins,WR,NYG,8,8.3,-72.2,152,0.0
Darius Cooper,WR,PHI,10,8.0,-72.5,153,0.0
Cedrick Wilson,WR,DET,6,8.0,-72.5,154,0.0
Bo Melton,WR,GB,11,7.8,-72.7,155,0.0
Reggie Virgil,WR,ARI,14,7.8,-72.7,156,0.0
Roman Wilson,WR,PIT,9,7.8,-72.7,157,0.0
Marquez Valdes-Scantling,WR,DAL,14,7.6,-73.0,158,0.0
Jahdae Walker,WR,CHI,10,7.3,-73.2,159,0.0
John Metchie,WR,CAR,5,7.2,-73.3,160,0.0
Jake Bobo,WR,SEA,11,7.2,-73.3,161,0.0
Jordan Watkins,WR,SF,8,6.7,-73.8,162,0.0
CJ Daniels,WR,LAR,11,6.4,-74.1,163,0.0
Kameron Johnson,WR,TB,10,6.4,-74.1,164,0.0
Justin Watson,WR,HOU,8,6.3,-74.2,165,0.0
Isaiah Williams,WR,NYJ,13,6.2,-74.3,166,0.0
Scotty Miller,WR,CHI,10,6.1,-74.4,167,0.0
Jeshaun Jones,WR,MIN,6,6.0,-74.5,168,0.0
Ja'Lynn Polk,WR,NO,8,5.9,-74.6,169,0.0
CJ Williams,WR,JAX,7,5.6,-74.9,170,0.0
Dareke Young,WR,LV,13,5.5,-75.0,171,0.0
Devin Duvernay,WR,ARI,14,5.5,-75.0,172,0.0
Anthony Gould,WR,IND,13,5.4,-75.1,173,0.0
Tylan Wallace,WR,CLE,11,5.1,-75.4,174,0.0
Kyle Williams,WR,NE,11,4.6,-75.9,175,0.0
Casey Washington,WR,ATL,11,3.8,-76.8,176,0.0
Josh Cameron,WR,JAX,7,3.5,-77.0,177,0.0
Jeff Caldwell,WR,KC,5,3.3,-77.2,178,0.0
Derius Davis,WR,LAC,7,3.2,-77.3,179,0.0
Malik Benson,WR,LV,13,3.2,-77.3,180,0.0
Xavier Weaver,WR,ARI,14,3.0,-77.5,181,0.0
Arian Smith,WR,NYJ,13,2.8,-77.7,182,0.0
Mason Tipton,WR,NO,8,2.8,-77.7,183,0.0
Skyy Moore,WR,GB,11,0.0,-80.5,184,0.0
Brock Bowers,TE,LV,13,236.5,63.7,1,0.0
Colston Loveland,TE,CHI,10,233.3,60.5,2,0.0
Trey McBride,TE,ARI,14,227.1,54.3,3,0.0
Tyler Warren,TE,IND,13,211.9,39.0,4,0.0
Sam LaPorta,TE,DET,6,193.5,20.7,5,0.0
Harold Fannin,TE,CLE,11,193.0,20.2,6,0.0
Tucker Kraft,TE,GB,11,185.6,12.7,7,0.0
Travis Kelce,TE,KC,5,184.5,11.7,8,0.0
Isaiah Likely,TE,NYG,8,180.3,7.5,9,0.0
Kyle Pitts,TE,ATL,11,178.0,5.2,10,0.0
George Kittle,TE,SF,8,174.1,1.3,11,0.0
Jake Ferguson,TE,DAL,14,172.8,0.0,12,0.0
Hunter Henry,TE,NE,11,157.7,-15.1,13,0.0
T.J. Hockenson,TE,MIN,6,157.5,-15.4,14,0.0
Mark Andrews,TE,BAL,13,156.9,-15.9,15,0.0
Dalton Schultz,TE,HOU,8,154.3,-18.5,16,0.0
Dalton Kincaid,TE,BUF,7,150.2,-22.6,17,0.0
Chig Okonkwo,TE,WSH,7,148.1,-24.7,18,0.0
Dallas Goedert,TE,PHI,10,141.8,-31.0,19,0.0
Greg Dulcich,TE,MIA,6,137.9,-34.9,20,0.0
Pat Freiermuth,TE,PIT,9,136.6,-36.2,21,0.0
Brenton Strange,TE,JAX,7,129.1,-43.7,22,0.0
Juwan Johnson,TE,NO,8,124.1,-48.7,23,0.0
Oronde Gadsden,TE,LAC,7,120.8,-52.0,24,0.0
Terrance Ferguson,TE,LAR,11,120.4,-52.5,25,0.0
Cade Otton,TE,TB,10,113.0,-59.8,26,0.0
Kenyon Sadiq,TE,NYJ,13,110.2,-62.6,27,0.0
AJ Barner,TE,SEA,11,109.3,-63.5,28,0.0
Mike Gesicki,TE,CIN,6,109.2,-63.6,29,0.0
Gunnar Helm,TE,TEN,9,99.7,-73.1,30,0.0
David Njoku,TE,LAC,7,96.6,-76.2,31,0.0
Evan Engram,TE,DEN,10,92.1,-80.7,32,0.0
Mason Taylor,TE,NYJ,13,84.1,-88.8,33,0.0
Dawson Knox,TE,BUF,7,81.0,-91.8,34,0.0
Darnell Washington,TE,PIT,9,79.0,-93.8,35,0.0
Colby Parkinson,TE,LAR,11,75.7,-97.1,36,0.0
Ja'Tavion Sanders,TE,CAR,5,69.3,-103.5,37,0.0
Noah Gray,TE,KC,5,62.4,-110.4,38,0.0
Michael Mayer,TE,LV,13,60.7,-112.1,39,0.0
Cole Kmet,TE,CHI,10,59.3,-113.5,40,0.0
Elijah Arroyo,TE,SEA,11,57.0,-115.8,41,0.0
Tommy Tremble,TE,CAR,5,53.6,-119.2,42,0.0
Theo Johnson,TE,NYG,8,51.2,-121.6,43,0.0
Austin Hooper,TE,ATL,11,47.3,-125.6,44,0.0
Max Klare,TE,LAR,11,47.0,-125.8,45,0.0
Eli Raridon,TE,NE,11,44.7,-128.1,46,0.0
Jake Tonges,TE,SF,8,43.2,-129.7,47,0.0
Justin Joly,TE,DEN,10,42.5,-130.3,48,0.0
Eli Stowers,TE,PHI,10,40.3,-132.5,49,0.0
Mitchell Evans,TE,CAR,5,38.0,-134.8,50,0.0
Luke Musgrave,TE,GB,11,37.7,-135.1,51,0.0
Drew Sample,TE,CIN,6,36.0,-136.8,52,0.0
Will Kacmarek,TE,MIA,6,35.9,-137.0,53,0.0
Daniel Bellinger,TE,TEN,9,35.5,-137.3,54,0.0
Luke Schoonmaker,TE,DAL,14,32.3,-140.6,55,0.0
Noah Fant,TE,NO,8,30.4,-142.4,56,0.0
Durham Smythe,TE,BAL,13,29.1,-143.7,57,0.0
Josh Oliver,TE,MIN,6,26.6,-146.2,58,0.0
